Date,Open,High,Low,Close,Adj Close,Volume
04-01-2000,6000000000,6110000000,5660000000,6110000000,4651737793,74195000
05-01-2000,5800000000,6060000000,5520000000,5580000000,4248232422,74680000
06-01-2000,5750000000,5780000000,5580000000,5620000000,4278686523,54390000
07-01-2000,5560000000,5670000000,5360000000,5540000000,4217780273,40305000
10-01-2000,5600000000,5770000000,5580000000,5770000000,4392884766,46880000
11-01-2000,5820000000,6100000000,5770000000,5770000000,4392884766,59745000
12-01-2000,5610000000,5740000000,5600000000,5720000000,4354818359,29220000
13-01-2000,5600000000,5740000000,5560000000,5710000000,4347205078,41190000
14-01-2000,5720000000,5880000000,5680000000,5830000000,4438565918,49375000
17-01-2000,6000000000,6180000000,5920000000,6100000000,4644125000,63505000
18-01-2000,6160000000,6160000000,5980000000,6100000000,4644125000,45260000
19-01-2000,6000000000,6040000000,5960000000,5960000000,4537538574,40205000
20-01-2000,5860000000,6040000000,5820000000,6040000000,4598444824,37315000
21-01-2000,5950000000,5980000000,5880000000,5880000000,4476631836,32535000
24-01-2000,5800000000,5900000000,5700000000,5700000000,4339591309,34355000
25-01-2000,5520000000,5640000000,5440000000,5440000000,4141645996,44250000
26-01-2000,5500000000,5520000000,5410000000,5480000000,4172099121,29285000
27-01-2000,5480000000,5620000000,5430000000,5520000000,4202552734,27900000
28-01-2000,5640000000,5880000000,5540000000,5820000000,4430951660,38315000
31-01-2000,5640000000,5730000000,5560000000,5580000000,4248232422,39630000
01-02-2000,5600000000,5680000000,5260000000,5320000000,4050285889,71470000
02-02-2000,5220000000,5370000000,5110000000,5250000000,3996992188,64105000
03-02-2000,5250000000,5460000000,4970000000,5130000000,3905632813,142765000
04-02-2000,5130000000,5130000000,5130000000,5130000000,3905632813,0
07-02-2000,5140000000,5330000000,5040000000,5240000000,3989381104,64140000
08-02-2000,5340000000,5480000000,5310000000,5430000000,4134033203,58460000
09-02-2000,5560000000,5720000000,5480000000,5720000000,4354818359,51050000
10-02-2000,5660000000,5880000000,5600000000,5760000000,4385270508,61845000
11-02-2000,5960000000,5960000000,5680000000,5700000000,4339591309,34660000
14-02-2000,5600000000,5660000000,5340000000,5380000000,4095965820,44140000
15-02-2000,5380000000,5420000000,5140000000,5200000000,3958927246,38315000
16-02-2000,5180000000,5200000000,4780000000,5000000000,3806659912,73115000
17-02-2000,4940000000,5100000000,4910000000,5080000000,3867565918,65185000
18-02-2000,5370000000,5630000000,5160000000,5300000000,4035059570,108750000
21-02-2000,5200000000,5260000000,5030000000,5070000000,3859953369,26485000
22-02-2000,5000000000,5240000000,5000000000,5120000000,3898019531,24180000
23-02-2000,5220000000,5260000000,5100000000,5140000000,3913246338,27720000
24-02-2000,5120000000,5240000000,5060000000,5070000000,3859953369,26075000
25-02-2000,5080000000,5150000000,4980000000,5120000000,3898019531,27875000
28-02-2000,5000000000,5050000000,4800000000,4800000000,3654393066,30140000
29-02-2000,4900000000,5140000000,4840000000,5120000000,3898019531,51820000
01-03-2000,5120000000,5120000000,5120000000,5120000000,3898019531,0
02-03-2000,5880000000,5880000000,5520000000,5880000000,4476631836,117750000
03-03-2000,6200000000,6250000000,5880000000,6000000000,4567991699,140990000
06-03-2000,6000000000,6050000000,5600000000,5640000000,4293912109,39150000
07-03-2000,5600000000,5640000000,5480000000,5620000000,4278686523,30070000
08-03-2000,5520000000,6000000000,5500000000,5920000000,4507085938,32460000
09-03-2000,5970000000,5980000000,5620000000,5620000000,4278686523,55890000
10-03-2000,5790000000,5800000000,5520000000,5540000000,4217780273,28605000
13-03-2000,5480000000,5490000000,5160000000,5180000000,3943698486,32215000
14-03-2000,5170000000,5380000000,5160000000,5210000000,3966539307,30060000
15-03-2000,5200000000,5400000000,5120000000,5400000000,4111191895,46105000
16-03-2000,5480000000,5520000000,5360000000,5400000000,4111191895,28795000
17-03-2000,5540000000,5560000000,5400000000,5480000000,4172099121,24080000
